date,month,week,day,intro,verse1,solo1,solo2,verse2,outro,compositing
4/1,april,1,saturday,6,0,0,0,2,0,0
4/2,april,2,sunday,4,0,0,0,0,0,0
4/3,april,2,monday,4.5,0,0,0,0,0,0
4/4,april,2,tuesday,4,0,0,0,0,0,0
4/5,april,2,wednesday,3.5,0,0,0,0,0,0
4/6,april,2,thursday,3,0,0,0,0,0,0
4/7,april,2,friday,0,0,0,0,0,0,0
4/8,april,2,saturday,0,0,0,0,0,0,0
4/9,april,3,sunday,0,0,0,0,0,0,0
4/10,april,3,monday,0,0,0,0,0,0,0
4/11,april,3,tuesday,0,0,0,0,0,0,0
4/12,april,3,wednesday,0,0,0,0,0,0,0
4/13,april,3,thursday,0,0,0,0,0,0,0
4/14,april,3,friday,0,0,0,0,0,0,0
4/15,april,3,saturday,5,0,0,0,0,0,0
4/16,april,4,sunday,6,0,0,0,0,0,0
4/17,april,4,monday,0,0,0,7.5,0,0,0
4/18,april,4,tuesday,0,0,0,5,0,0,0
4/19,april,4,wednesday,0,0,0,0,0,0,0
4/20,april,4,thursday,0,0,0,0.5,0,0,0
4/21,april,4,friday,0,0,0,0.5,0,0,0
4/22,april,4,saturday,0,0,0,0,0,0,0
4/23,april,5,sunday,0,0,0,1,0,0,0
4/24,april,5,monday,0,0,1.5,0,0,0,0
4/25,april,5,tuesday,0,0,0,1.5,0,1,0
4/26,april,5,wednesday,0,0,0,0,0,1.5,0
4/27,april,5,thursday,0,0,0,0,0,0,0
4/28,april,5,friday,0,0,0,0,1,0,0
4/29,april,5,saturday,0,0,0,0,3,0,0
4/30,april,6,sunday,0,0,0,0,2.5,0,0
5/1,may,6,monday,0,0,1,0,0,0,0
5/2,may,6,tuesday,0,0,0,0,0,0,0
5/3,may,6,wednesday,0,0,0,0,0,0,0
5/4,may,6,thursday,0,0,0,0,0,0,0
5/5,may,6,friday,0,0,0,0,0,0,0
5/6,may,6,saturday,0,0,0,0,0,0,0
5/7,may,7,sunday,0,0,0,0,0,0,0
5/8,may,7,monday,0,0,1.5,0,0.5,0,0
5/9,may,7,tuesday,0,0,1.5,0,3.5,0,0
5/10,may,7,wednesday,0,0,1,0,1,0,0
5/11,may,7,thursday,0,0,0,0,2.5,3,0
5/12,may,7,friday,0,0,0,0,1.5,3.5,0
5/13,may,7,saturday,0,0,0,0,4.5,0,0
5/14,may,8,sunday,0,0,0,0,5.5,0,0
5/15,may,8,monday,0,0,0,0,3.5,3,0
5/16,may,8,tuesday,0,0,0,0,0,2,0
5/17,may,8,wednesday,0,0,0,0,2,3,0
5/18,may,8,thursday,0,0,0,0,0,4,0
5/19,may,8,friday,0,0,0,2.5,0,1,0
5/20,may,8,saturday,0,0,0,0,1,0,0
5/21,may,9,sunday,0,0,0,0,0,0,0
5/22,may,9,monday,0,0,0,2.5,0,0,0
5/23,may,9,tuesday,0,0,2.5,0,0,0,0
